#Saved Data from the class wainteach_gui on 29.10.2025 at 11h08m28s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 3
#MW power (dBm): 1.0000000000000000e+01
#Field enabling: True
#coils currents [x, y, z] (A): [1.062699, 0.527983, 1.34]
#coils fields [bx, by, bz] (T): [0.001, 0.0005, 0.00201]
#coils fields [norm, theta, phi] (T, °, °): [0.0023, 29.1, 26.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.310488e+00
2.790170e+09	3.310697e+00
2.790340e+09	3.310747e+00
2.790511e+09	3.311231e+00
2.790681e+09	3.311026e+00
2.790851e+09	3.310932e+00
2.791021e+09	3.310628e+00
2.791191e+09	3.310478e+00
2.791361e+09	3.310290e+00
2.791532e+09	3.309141e+00
2.791702e+09	3.309879e+00
2.791872e+09	3.309727e+00
2.792042e+09	3.310221e+00
2.792212e+09	3.311239e+00
2.792382e+09	3.310850e+00
2.792553e+09	3.310050e+00
2.792723e+09	3.311053e+00
2.792893e+09	3.311189e+00
2.793063e+09	3.310340e+00
2.793233e+09	3.311409e+00
2.793403e+09	3.310808e+00
2.793574e+09	3.311192e+00
2.793744e+09	3.310917e+00
2.793914e+09	3.311683e+00
2.794084e+09	3.310564e+00
2.794254e+09	3.310802e+00
2.794424e+09	3.310905e+00
2.794595e+09	3.310848e+00
2.794765e+09	3.309775e+00
2.794935e+09	3.310529e+00
2.795105e+09	3.310858e+00
2.795275e+09	3.310655e+00
2.795445e+09	3.310785e+00
2.795616e+09	3.310682e+00
2.795786e+09	3.311070e+00
2.795956e+09	3.311702e+00
2.796126e+09	3.311490e+00
2.796296e+09	3.310216e+00
2.796466e+09	3.310725e+00
2.796637e+09	3.311406e+00
2.796807e+09	3.311590e+00
2.796977e+09	3.310448e+00
2.797147e+09	3.310779e+00
2.797317e+09	3.311092e+00
2.797487e+09	3.311012e+00
2.797658e+09	3.311959e+00
2.797828e+09	3.312009e+00
2.797998e+09	3.310996e+00
2.798168e+09	3.311258e+00
2.798338e+09	3.310323e+00
2.798509e+09	3.310683e+00
2.798679e+09	3.310634e+00
2.798849e+09	3.310780e+00
2.799019e+09	3.310619e+00
2.799189e+09	3.311853e+00
2.799359e+09	3.310876e+00
2.799530e+09	3.311274e+00
2.799700e+09	3.310835e+00
2.799870e+09	3.310459e+00
2.800040e+09	3.310959e+00
2.800210e+09	3.311075e+00
2.800380e+09	3.310876e+00
2.800551e+09	3.310145e+00
2.800721e+09	3.309385e+00
2.800891e+09	3.310697e+00
2.801061e+09	3.310124e+00
2.801231e+09	3.310841e+00
2.801401e+09	3.310473e+00
2.801572e+09	3.309926e+00
2.801742e+09	3.310171e+00
2.801912e+09	3.310844e+00
2.802082e+09	3.310534e+00
2.802252e+09	3.309344e+00
2.802422e+09	3.310539e+00
2.802593e+09	3.310469e+00
2.802763e+09	3.311410e+00
2.802933e+09	3.310983e+00
2.803103e+09	3.310572e+00
2.803273e+09	3.310104e+00
2.803443e+09	3.310629e+00
2.803614e+09	3.310296e+00
2.803784e+09	3.309243e+00
2.803954e+09	3.309335e+00
2.804124e+09	3.310234e+00
2.804294e+09	3.310113e+00
2.804464e+09	3.309529e+00
2.804635e+09	3.309992e+00
2.804805e+09	3.310150e+00
2.804975e+09	3.310198e+00
2.805145e+09	3.309076e+00
2.805315e+09	3.308794e+00
2.805485e+09	3.308147e+00
2.805656e+09	3.308951e+00
2.805826e+09	3.307968e+00
2.805996e+09	3.308080e+00
2.806166e+09	3.308163e+00
2.806336e+09	3.308657e+00
2.806507e+09	3.308978e+00
2.806677e+09	3.308740e+00
2.806847e+09	3.308117e+00
2.807017e+09	3.307774e+00
2.807187e+09	3.306777e+00
2.807357e+09	3.305889e+00
2.807528e+09	3.306768e+00
2.807698e+09	3.305343e+00
2.807868e+09	3.305119e+00
2.808038e+09	3.305838e+00
2.808208e+09	3.305821e+00
2.808378e+09	3.305121e+00
2.808549e+09	3.305090e+00
2.808719e+09	3.305890e+00
2.808889e+09	3.304727e+00
2.809059e+09	3.304261e+00
2.809229e+09	3.304158e+00
2.809399e+09	3.304573e+00
2.809570e+09	3.303510e+00
2.809740e+09	3.304286e+00
2.809910e+09	3.302537e+00
2.810080e+09	3.302612e+00
2.810250e+09	3.301828e+00
2.810420e+09	3.301267e+00
2.810591e+09	3.299224e+00
2.810761e+09	3.299120e+00
2.810931e+09	3.299171e+00
2.811101e+09	3.297292e+00
2.811271e+09	3.295974e+00
2.811441e+09	3.294674e+00
2.811612e+09	3.293565e+00
2.811782e+09	3.291706e+00
2.811952e+09	3.290087e+00
2.812122e+09	3.287383e+00
2.812292e+09	3.285099e+00
2.812462e+09	3.283489e+00
2.812633e+09	3.282530e+00
2.812803e+09	3.282148e+00
2.812973e+09	3.282837e+00
2.813143e+09	3.284608e+00
2.813313e+09	3.285276e+00
2.813483e+09	3.286148e+00
2.813654e+09	3.284453e+00
2.813824e+09	3.284476e+00
2.813994e+09	3.283052e+00
2.814164e+09	3.280862e+00
2.814334e+09	3.278761e+00
2.814505e+09	3.278026e+00
2.814675e+09	3.277563e+00
2.814845e+09	3.277007e+00
2.815015e+09	3.279413e+00
2.815185e+09	3.280227e+00
2.815355e+09	3.281771e+00
2.815526e+09	3.283146e+00
2.815696e+09	3.284229e+00
2.815866e+09	3.284641e+00
2.816036e+09	3.283550e+00
2.816206e+09	3.283955e+00
2.816376e+09	3.281806e+00
2.816547e+09	3.280784e+00
2.816717e+09	3.280641e+00
2.816887e+09	3.280553e+00
2.817057e+09	3.282481e+00
2.817227e+09	3.284260e+00
2.817397e+09	3.285404e+00
2.817568e+09	3.287975e+00
2.817738e+09	3.290797e+00
2.817908e+09	3.292261e+00
2.818078e+09	3.293816e+00
2.818248e+09	3.296017e+00
2.818418e+09	3.297016e+00
2.818589e+09	3.298559e+00
2.818759e+09	3.299027e+00
2.818929e+09	3.298428e+00
2.819099e+09	3.299145e+00
2.819269e+09	3.299760e+00
2.819439e+09	3.299583e+00
2.819610e+09	3.300470e+00
2.819780e+09	3.300579e+00
2.819950e+09	3.302488e+00
2.820120e+09	3.302434e+00
2.820290e+09	3.303375e+00
2.820460e+09	3.303377e+00
2.820631e+09	3.303887e+00
2.820801e+09	3.304338e+00
2.820971e+09	3.304088e+00
2.821141e+09	3.304722e+00
2.821311e+09	3.304490e+00
2.821481e+09	3.304635e+00
2.821652e+09	3.304289e+00
2.821822e+09	3.304438e+00
2.821992e+09	3.304906e+00
2.822162e+09	3.305465e+00
2.822332e+09	3.306297e+00
2.822503e+09	3.306111e+00
2.822673e+09	3.305731e+00
2.822843e+09	3.306136e+00
2.823013e+09	3.305785e+00
2.823183e+09	3.304281e+00
2.823353e+09	3.304730e+00
2.823524e+09	3.304494e+00
2.823694e+09	3.304370e+00
2.823864e+09	3.304335e+00
2.824034e+09	3.304674e+00
2.824204e+09	3.303629e+00
2.824374e+09	3.304314e+00
2.824545e+09	3.304771e+00
2.824715e+09	3.304469e+00
2.824885e+09	3.304883e+00
2.825055e+09	3.304714e+00
2.825225e+09	3.304601e+00
2.825395e+09	3.303356e+00
2.825566e+09	3.303152e+00
2.825736e+09	3.302522e+00
2.825906e+09	3.302816e+00
2.826076e+09	3.303339e+00
2.826246e+09	3.304053e+00
2.826416e+09	3.302711e+00
2.826587e+09	3.303229e+00
2.826757e+09	3.302908e+00
2.826927e+09	3.302633e+00
2.827097e+09	3.302076e+00
2.827267e+09	3.302485e+00
2.827437e+09	3.302856e+00
2.827608e+09	3.301950e+00
2.827778e+09	3.301566e+00
2.827948e+09	3.299821e+00
2.828118e+09	3.299488e+00
2.828288e+09	3.298669e+00
2.828458e+09	3.297914e+00
2.828629e+09	3.295767e+00
2.828799e+09	3.295799e+00
2.828969e+09	3.295682e+00
2.829139e+09	3.293773e+00
2.829309e+09	3.292734e+00
2.829479e+09	3.290659e+00
2.829650e+09	3.289650e+00
2.829820e+09	3.287030e+00
2.829990e+09	3.284738e+00
2.830160e+09	3.282215e+00
2.830330e+09	3.280347e+00
2.830501e+09	3.279107e+00
2.830671e+09	3.278153e+00
2.830841e+09	3.277497e+00
2.831011e+09	3.278047e+00
2.831181e+09	3.280311e+00
2.831351e+09	3.280836e+00
2.831522e+09	3.281365e+00
2.831692e+09	3.281050e+00
2.831862e+09	3.280257e+00
2.832032e+09	3.278525e+00
2.832202e+09	3.277136e+00
2.832372e+09	3.275844e+00
2.832543e+09	3.273896e+00
2.832713e+09	3.274498e+00
2.832883e+09	3.274850e+00
2.833053e+09	3.276093e+00
2.833223e+09	3.276935e+00
2.833393e+09	3.278464e+00
2.833564e+09	3.280248e+00
2.833734e+09	3.280290e+00
2.833904e+09	3.280097e+00
2.834074e+09	3.279822e+00
2.834244e+09	3.279571e+00
2.834414e+09	3.279087e+00
