#Saved Data from the class wainteach_gui on 29.10.2025 at 11h03m17s.
#
#Parameters:
#===========
#
#laser setpoint (mW): 2.6600000000000001e+01
#MW limits (Hz): [2790000000.0, 2960000000.0]
#Acquisition (sample): 1000
#Average (acquisition): 3
#MW power (dBm): 3.0000000000000000e+00
#Field enabling: True
#coils currents [x, y, z] (A): [1.062699, 0.527983, 1.34]
#coils fields [bx, by, bz] (T): [0.001, 0.0005, 0.00201]
#coils fields [norm, theta, phi] (T, °, °): [0.0023, 29.1, 26.6]
#
#Data:
#=====
#frequency	voltage	
2.790000e+09	3.309009e+00
2.790170e+09	3.309798e+00
2.790340e+09	3.310043e+00
2.790511e+09	3.310338e+00
2.790681e+09	3.310607e+00
2.790851e+09	3.310623e+00
2.791021e+09	3.310203e+00
2.791191e+09	3.310126e+00
2.791361e+09	3.310150e+00
2.791532e+09	3.309319e+00
2.791702e+09	3.309703e+00
2.791872e+09	3.309727e+00
2.792042e+09	3.309490e+00
2.792212e+09	3.309926e+00
2.792382e+09	3.310178e+00
2.792553e+09	3.310285e+00
2.792723e+09	3.310236e+00
2.792893e+09	3.310118e+00
2.793063e+09	3.309954e+00
2.793233e+09	3.309267e+00
2.793403e+09	3.309983e+00
2.793574e+09	3.309778e+00
2.793744e+09	3.309930e+00
2.793914e+09	3.309979e+00
2.794084e+09	3.309765e+00
2.794254e+09	3.309559e+00
2.794424e+09	3.309115e+00
2.794595e+09	3.309672e+00
2.794765e+09	3.309255e+00
2.794935e+09	3.310125e+00
2.795105e+09	3.309480e+00
2.795275e+09	3.309130e+00
2.795445e+09	3.308590e+00
2.795616e+09	3.309926e+00
2.795786e+09	3.309472e+00
2.795956e+09	3.309477e+00
2.796126e+09	3.309892e+00
2.796296e+09	3.309501e+00
2.796466e+09	3.309276e+00
2.796637e+09	3.309478e+00
2.796807e+09	3.309312e+00
2.796977e+09	3.309197e+00
2.797147e+09	3.309542e+00
2.797317e+09	3.309548e+00
2.797487e+09	3.310146e+00
2.797658e+09	3.309440e+00
2.797828e+09	3.309527e+00
2.797998e+09	3.309187e+00
2.798168e+09	3.308633e+00
2.798338e+09	3.308948e+00
2.798509e+09	3.309037e+00
2.798679e+09	3.309339e+00
2.798849e+09	3.309701e+00
2.799019e+09	3.309537e+00
2.799189e+09	3.309530e+00
2.799359e+09	3.309300e+00
2.799530e+09	3.308851e+00
2.799700e+09	3.309565e+00
2.799870e+09	3.309190e+00
2.800040e+09	3.308927e+00
2.800210e+09	3.309289e+00
2.800380e+09	3.309105e+00
2.800551e+09	3.308811e+00
2.800721e+09	3.309372e+00
2.800891e+09	3.308978e+00
2.801061e+09	3.309285e+00
2.801231e+09	3.309094e+00
2.801401e+09	3.309152e+00
2.801572e+09	3.308867e+00
2.801742e+09	3.308846e+00
2.801912e+09	3.309482e+00
2.802082e+09	3.308176e+00
2.802252e+09	3.307979e+00
2.802422e+09	3.309066e+00
2.802593e+09	3.308687e+00
2.802763e+09	3.308833e+00
2.802933e+09	3.308703e+00
2.803103e+09	3.308654e+00
2.803273e+09	3.307780e+00
2.803443e+09	3.308034e+00
2.803614e+09	3.307622e+00
2.803784e+09	3.307809e+00
2.803954e+09	3.308059e+00
2.804124e+09	3.308337e+00
2.804294e+09	3.307424e+00
2.804464e+09	3.307621e+00
2.804635e+09	3.307244e+00
2.804805e+09	3.306868e+00
2.804975e+09	3.307630e+00
2.805145e+09	3.306608e+00
2.805315e+09	3.307112e+00
2.805485e+09	3.307118e+00
2.805656e+09	3.306013e+00
2.805826e+09	3.306420e+00
2.805996e+09	3.306109e+00
2.806166e+09	3.306474e+00
2.806336e+09	3.306284e+00
2.806507e+09	3.305513e+00
2.806677e+09	3.305297e+00
2.806847e+09	3.305052e+00
2.807017e+09	3.304855e+00
2.807187e+09	3.304263e+00
2.807357e+09	3.303323e+00
2.807528e+09	3.303555e+00
2.807698e+09	3.303146e+00
2.807868e+09	3.303801e+00
2.808038e+09	3.303413e+00
2.808208e+09	3.303003e+00
